# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 13:32:45 UTC 2021 [seed=1613482363722]
# bears_aligned_ccs.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-495464.44869663613	-360004.9873312119	-135459.4613654242	360000.7277204768	360000.7277204768	360005.5795853831	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-135459.4613654242	0.0	-4.8518649063043995
1000	-117666.2837534357	-41650.952278682904	-76015.33147475279	360000.0409914273	360000.0409914273	360000.51444247004	0.4922130260691859	7.611797234425261	0.25718798272130794	0.23420750514317765	0.2500000001	0.25860451203551443	0.189881988248865	0.11572133568999189	0.1157213356899919	-76015.33147475279	0.0	2.582335990174811
2000	-48652.204242571315	-7819.416811248792	-40832.787431322526	360000.4334153178	360000.4334153178	360004.6138671192	0.7083600547846944	14.106358304441065	0.2590614781193856	0.23766965997772546	0.2360778990340398	0.26719096286884914	0.03827474322180175	0.02172493063291426	0.02172493063291426	-40832.787431322526	0.0	-4.177577860784923
3000	-38917.72573944216	-1342.5830675649336	-37575.14267187723	360001.424262374	360001.424262374	360007.25972574536	1.1274264655276438	25.536457667629925	0.2608900344227714	0.24515114366298127	0.22435070853320968	0.26960811338103763	0.02721394597788655	0.0037270100650781887	0.003727010065078189	-37575.14267187723	0.0	-5.7756026938895335
4000	-37076.29050858229	-222.21521949885008	-36854.07528908344	360000.20474473666	360000.20474473666	360002.38114553975	1.3461211231088288	35.89845239667273	0.2608900344227714	0.24515114366298127	0.22435070853320968	0.26960811338103763	0.029504695747721195	6.219483401458327E-4	6.219483401458326E-4	-36854.07528908344	0.0	-3.102930257334183
5000	-34906.41813601555	-36.89974015326236	-34869.51839586229	360000.2483377429	360000.2483377429	360005.354734329	1.1518337172881767	74.41940332873794	0.26611702799667203	0.24515114366298127	0.21505934571333216	0.27367248262701455	0.02365508147613613	9.870694469672333E-5	9.870694469672333E-5	-34869.51839586229	0.0	-5.140051882288192
6000	-34008.814987271326	-65.92522365900209	-33942.88976361232	360004.9481059284	360004.9481059284	360213.6777696181	4.00958172884708	156.77340878526704	0.2786306042826118	0.24349883532161096	0.20716391881469157	0.2707066415810856	0.022100794835287443	2.1426863843294332E-5	2.1426863843294332E-5	-33942.88976361232	0.0	-59.00114983887081
7000	-33511.95520524691	-108.0080885610157	-33403.94711668589	360006.92413286	360006.92413286	361093.03364012117	13.715183147860072	678.8821235403707	0.2893638380258625	0.24349883532161096	0.19410052122195603	0.2730368054305705	0.02752361340097549	2.5575156151351752E-5	2.5575156151351752E-5	-33403.94711668589	0.0	-92.28282025081455
8000	-33331.27860150668	-81.0486713158687	-33250.22993019081	360036.2290071212	360036.2290071212	363317.3825801933	98.49291250578275	1725.187590969396	0.29630532472750737	0.24432237053064373	0.1829445101448064	0.2764277945970426	0.028600116447745887	3.1157360183122545E-5	3.115736018312254E-5	-33250.22993019081	0.0	-56.663027550838244
9000	-33059.378404212606	-95.87163610968128	-32963.506768102925	364788.1870824124	364788.1870824124	401366.92514587456	1053.6106503259903	2210.3533737490366	0.30577411579250235	0.25111280052563917	0.16436130801963178	0.27875177566222675	0.02540978641251321	1.6510062911164033E-5	1.6510062911164033E-5	-32963.506768102925	0.0	-72.89219054508132
