# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 14:09:02 UTC 2021 [seed=1613484541067]
# ../xml/bears_aligned_ccs_root.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-495491.3027213962	-360031.8923871326	-135459.41033426355	360000.3772476906	360000.3772476906	360007.3069563595	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-135459.41033426355	0.0	-6.929708668918465
1000	-219570.22402207804	-90606.96419262522	-128963.25982945281	360000.19581472775	360000.19581472775	360001.54915729223	0.5950203074416983	3.378419037026511	0.2589731839089201	0.23525772257553346	0.24697946499854065	0.2587896285170058	0.3379832660321667	0.2516396216608926	0.2516396216608926	-128963.25982945281	0.0	0.32135102801008386
2000	-137930.23389898162	-20967.238704374427	-116962.9951946072	360000.1524985815	360000.1524985815	360000.65289884957	0.09778326093966623	8.406912962822384	0.266904970105797	0.2421315399891754	0.22559417658864545	0.2653693133163822	0.3212648950623897	0.058217619667459065	0.05821761966745907	-116962.9951946072	0.0	6.507566323409545
3000	-56934.594097420726	-4398.4367720007585	-52536.15732541997	360000.00146453065	360000.00146453065	360000.1712118572	0.07420848456481476	16.760983327277522	0.27526829856294055	0.24469933225059026	0.22302638432723057	0.25700598485923865	0.16897383265282837	0.01220501980803406	0.01220501980803406	-52536.15732541997	0.0	10.71694568412301
4000	-45755.510335497514	-791.5748206918873	-44963.93551480563	360000.0622117618	360000.0622117618	360000.35800532455	0.08378820032680515	335.6928018525552	0.27526829856294055	0.2533556650403894	0.21437005153743144	0.25700598485923865	0.12643460370521625	0.0021571274956199097	0.0021571274956199097	-44963.93551480563	0.0	8.86706223850069
5000	-37559.95803092719	-99.95333555471896	-37460.004695372474	360000.1362526394	360000.1362526394	360000.65874790435	0.16034445497062047	642.586034947385	0.30423150884394246	0.24759066871897537	0.19691648829019565	0.25126133414688656	0.08069369509290317	2.215730146771704E-4	2.2157301467717042E-4	-37460.004695372474	0.0	5.893574478687367
6000	-33698.76080748404	-59.3975159488236	-33639.363291535214	360000.54688885855	360000.54688885855	360002.69945818174	0.3097135771219808	811.8300226511059	0.2994895320058251	0.25206669100272855	0.18776707442388632	0.26067670256756004	0.03510937993658922	8.628469874356815E-5	8.628469874356814E-5	-33639.363291535214	0.0	-1.0896568386480652
7000	-33482.5570212836	-76.08855220053452	-33406.46846908307	360002.8188099089	360002.8188099089	360015.7242812873	0.6701349765005837	3061.801773349623	0.30895002413528816	0.25228012091621516	0.17809315238093668	0.26067670256756004	0.026795450814760688	6.728219613167459E-5	6.728219613167459E-5	-33406.46846908307	0.0	-17.256637261271877
8000	-33403.11393070227	-85.31653375130664	-33317.79739695096	360001.2794528924	360001.2794528924	360032.8715130332	2.607556881949051	3510.522198537376	0.3146490586836133	0.25828210004728813	0.15675111707490005	0.27031772419419847	0.018268706966443442	8.768033278169845E-5	8.768033278169845E-5	-33317.79739695096	0.0	-16.907647129006975
9000	-33326.15760007278	-115.15012024272978	-33211.00747983005	360005.27222614846	360005.27222614846	361040.08086066844	49.741724300318204	4769.376416847907	0.32017579086162407	0.2570212316458097	0.14569495400200505	0.2771080234905612	0.01288915881153462	9.214671726210936E-5	9.214671726210936E-5	-33211.00747983005	0.0	-40.3378546739668
10000	-33293.603391539924	-123.35708681198352	-33170.24630472794	360001.95157467073	360001.95157467073	364661.7636685349	189.20852411131565	4608.95592083413	0.3143127183633352	0.2539205053004489	0.15115989209291647	0.2806068842432995	0.007820504386373094	8.15704734333718E-5	8.15704734333718E-5	-33170.24630472794	0.0	-51.005281062117774
11000	-33079.43937927442	-137.30022075952365	-32942.1391585149	360006.0945815744	360006.0945815744	419037.73741368024	3622.604436059349	7059.572960779577	0.3143127183633352	0.2559717394430598	0.1491086579503056	0.2806068842432995	0.004995785571657643	6.795743786538126E-5	6.795743786538126E-5	-32942.1391585149	0.0	-60.91805671514145
12000	-33046.96757908318	-153.99873916771742	-32892.96883991546	360016.5410029605	360016.5410029605	583261.0534480661	34419.59677536618	8654.51508281187	0.3164202491175646	0.25702364327144833	0.1491086579503056	0.2774474496606815	0.007528353489578717	7.084493904913099E-5	7.084493904913099E-5	-32892.96883991546	0.0	-61.41849217952298
13000	-33037.686556306806	-156.82485910420203	-32880.86169720261	360086.23183001153	360086.23183001153	732594.5535349514	63508.10631339604	10036.66372219185	0.3149579345253651	0.25176926132120664	0.14909713159621507	0.28417567255721327	0.01192883087950959	5.5380293927601884E-5	5.538029392760188E-5	-32880.86169720261	0.0	-63.69131592571435
14000	-33037.948385189484	-153.70616684591394	-32884.24221834357	360327.6466927258	360327.6466927258	702859.4466547903	165137.00518456192	8854.142520490512	0.3187654581718436	0.2531564304548601	0.1454862091671345	0.28259190220616187	0.0063262115907459825	5.405441477640805E-5	5.405441477640806E-5	-32884.24221834357	0.0	-62.98165536734777
15000	-33024.211871229665	-144.38153095098914	-32879.83034027868	360953.4022598484	360953.4022598484	743191.022894957	119729.54768478178	6623.954857469569	0.31888868692103	0.25303320170567367	0.1454862091671345	0.28259190220616187	0.006241960266961071	4.1716626551196435E-5	4.1716626551196435E-5	-32879.83034027868	0.0	-62.90139593112649
16000	-33026.85301272573	-148.83462190993546	-32878.0183908158	361019.14058029273	361019.14058029273	874726.7257032937	265265.51932355686	6382.853480188222	0.3176521048128528	0.2542697838138509	0.1507949150328802	0.2772831963404162	0.0077648226361666465	3.738336687331693E-5	3.7383366873316934E-5	-32878.0183908158	0.0	-65.2182467283451
17000	-33021.64673055124	-140.18353041626528	-32881.463200134975	360883.0474636103	360883.0474636103	738322.8531095928	134062.2444126501	5993.54832283709	0.3176521048128528	0.2554092137324248	0.14498941610419128	0.2819492653505313	0.008047053046642053	3.704112717971022E-5	3.7041127179710224E-5	-32881.463200134975	0.0	-62.89275181942081
