# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 14:18:52 UTC 2021 [seed=1613485131275]
# ../xml/bears_aligned_bsl_root.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-496702.6699221397	-361241.160415129	-135461.50950701078	360017.79518005427	360017.79518005427	360158.6331691545	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-135461.50950701078	0.0	-140.8379891002769
1000	-271583.84029125306	-140288.40317916806	-131295.43711208497	360000.16727752617	360000.16727752617	360042.362729886	6.075507250991478	5.534485443414432	1.3482529473713099	1.1829225652658037	2.0	1.0	1.0	1.0	2.162477141364053	0.25760672296149656	0.24154237594121566	0.24239327723850346	0.2584576238587843	0.3562508784566895	0.38698058257750184	0.3869805825775019	-131295.43711208497	0.0	-13.357378200843304
2000	-91313.70992390123	-39150.12117054112	-52163.58875336011	360000.6442586366	360000.6442586366	360018.7030009918	3.628237809557818	5.002064182674869	0.8800070290916072	0.994292242784197	2.0	1.0	1.0	1.0	4.033229049706619	0.25961275849001547	0.24295546299096107	0.2324401196359963	0.26499165888302717	0.1164089547110282	0.10609772305800798	0.10609772305800799	-52163.58875336011	0.0	-8.690591130760442
3000	-52229.63862310207	-5806.678842377655	-46422.95978072442	360000.5275366837	360000.5275366837	360002.43452443863	1.3947026071074193	1.8452775157187735	0.9387469158662868	1.7067100031250912	1.0	1.0	1.0	2.0	8.641746271237508	0.27093509535943283	0.23771117773788228	0.2324401196359963	0.2589136072666886	0.08738648345171413	0.013503066105746933	0.013503066105746933	-46422.95978072442	0.0	-3.104005448393868
4000	-43082.870696317565	-2123.571855206182	-40959.298841111384	360000.58523766056	360000.58523766056	360005.9857146211	1.906178392146638	2.172130019416265	0.8332102888119703	2.5338196776080046	1.0	1.0	1.0	2.0	11.479899665167173	0.2631268386110004	0.2402675366618383	0.2324401196359963	0.26416550509116504	0.05807304001966202	0.0032584034133463268	0.0032584034133463268	-40959.298841111384	0.0	-6.755470503902045
5000	-39625.33137613116	-1556.850165100906	-38068.48121103025	360002.114431843	360002.114431843	360010.6202760845	2.3862169130549242	1.8938893020516976	2.3472355621180934	4.7858478032030805	1.0	1.0	1.0	2.0	22.81324265725528	0.2725139051879081	0.23975057250181492	0.22313421616372386	0.2646013061465532	0.03815443910536759	0.001675916558945919	0.001675916558945919	-38068.48121103025	0.0	-7.776548755751964
6000	-37257.752123573875	-1106.174090597203	-36151.57803297667	360000.0472462238	360000.0472462238	360006.5465290581	1.4530937799006114	2.3530031749284332	2.975520991110008	1.2536563065757305	2.0	1.0	1.0	1.0	53.81969748269261	0.2822190845045937	0.25220867801501473	0.20097093133383842	0.2646013061465532	0.029733313866640923	4.2725418576063594E-4	4.2725418576063584E-4	-36151.57803297667	0.0	-6.376070791003221
7000	-36104.9395802796	-1028.3907909645907	-35076.548789315006	360005.87429791666	360005.87429791666	360016.31561094866	1.2277282163713694	2.037837473646855	1.17973098311923	2.4078963620520035	1.0	1.0	2.0	1.0	86.7538550758726	0.27768617439431953	0.26691710108228167	0.18626250826657142	0.2691342162568274	0.024612804933911193	2.057636730481521E-4	2.057636730481521E-4	-35076.548789315006	0.0	-7.673182238669014
8000	-34895.3214559122	-979.0587790060773	-33916.262676906124	360002.8244071937	360002.8244071937	360019.5943116875	1.8663335027904557	2.1391961909324775	4.027983940010658	3.9021765179518315	1.0	1.0	1.0	2.0	198.04486646586122	0.2810559783661231	0.27485400687098355	0.16288163366600314	0.28120838109689017	0.02709921131113504	4.337264678993636E-5	4.3372646789936365E-5	-33916.262676906124	0.0	-12.872765394534525
9000	-34479.12609915826	-1003.699438531727	-33475.42666062653	360001.06769964553	360001.06769964553	360617.7388063418	25.320432599219014	2.2944069054982617	5.787411145604349	3.757092810068075	2.0	1.0	1.0	1.0	415.19953942852055	0.2810559783661231	0.2667277737902782	0.1562874689396836	0.29592877890391506	0.018649438788590458	2.527374121590733E-5	2.527374121590733E-5	-33475.42666062653	0.0	-36.44259550328085
10000	-34313.66966438741	-1017.5147305954367	-33296.15493379197	360005.87680627115	360005.87680627115	366736.62055241707	370.1786180426834	4.261618563983159	5.226858103162226	19.82626815674324	2.0	1.0	1.0	1.0	553.3991205100594	0.28734890045988776	0.2667277737902782	0.1513159031710163	0.2946074225788177	0.013193114478415592	2.7348320316013232E-5	2.7348320316013232E-5	-33296.15493379197	0.0	-40.432917295472436
